subject,session,condition,room,date,run,block,cond,planned_play_s,planned_rest_s,play_s,rest_s,t_play_lsl,t_rest_lsl
1,1,quiet,,2026-09-06,1,1,Q,41.7,26.6,41.705,26.603,3183.7544,3225.4597
1,1,quiet,,2026-09-06,1,2,Q,41.3,29.6,41.303,29.604,3252.0768,3293.3801
1,1,quiet,,2026-09-06,1,3,Q,34.5,29.9,34.503,29.904,3322.9869,3357.4903
1,1,quiet,,2026-09-06,1,4,Q,34.0,33.0,34.003,33.003,3387.3973,3421.4003
1,2,quiet,,2026-09-06,1,1,Q,45.7,26.8,45.704,26.806,434.9102,480.6145
1,2,quiet,,2026-09-06,1,2,Q,41.8,25.8,41.804,25.802,507.4369,549.2406
1,2,quiet,,2026-09-06,1,3,Q,38.1,31.9,38.103,31.903,575.0467,613.1496
1,3,quiet,,2026-09-06,1,1,Q,45.6,26.4,45.603,26.404,302.6692,348.2726
1,3,quiet,,2026-09-06,1,2,Q,37.3,27.1,37.304,27.103,374.6898,411.9934
1,3,quiet,,2026-09-06,1,3,Q,45.4,32.2,45.402,32.204,439.0985,484.5008
1,3,quiet,,2026-09-06,1,4,Q,35.1,34.0,35.103,34.003,516.7099,551.8128
1,3,quiet,,2026-09-06,1,5,Q,47.7,32.0,47.703,32.003,585.8191,633.522
1,4,quiet,,2026-09-07,1,1,Q,39.5,34.1,1.978,1.707,150.2823,152.2601
1,4,quiet,,2026-09-07,1,2,Q,45.6,27.1,2.283,1.358,153.981,156.2635
1,4,quiet,,2026-09-07,1,3,Q,41.2,30.6,2.062,1.532,157.6231,159.6854
1,4,quiet,,2026-09-07,1,4,Q,45.0,34.2,2.253,1.712,161.2204,163.473
1,4,quiet,,2026-09-07,1,5,Q,46.9,34.4,2.348,1.722,165.1879,167.5354
1,4,quiet,,2026-09-07,1,6,Q,35.4,27.4,1.773,1.372,169.2609,171.0335
1,4,quiet,,2026-09-07,2,1,Q,43.8,26.5,2.193,1.328,178.5634,180.7567
1,4,quiet,,2026-09-07,2,2,Q,32.7,25.2,1.638,1.263,182.0868,183.7244
1,4,quiet,,2026-09-07,2,3,Q,42.6,26.7,2.133,1.337,184.9898,187.1225
1,5,quiet,,2026-09-07,1,1,Q,44.8,25.5,2.244,1.277,917.6147,919.8583
1,5,quiet,,2026-09-07,1,2,Q,45.8,32.5,2.293,1.627,921.1496,923.4423
1,5,quiet,,2026-09-07,1,3,Q,41.2,30.8,2.063,1.543,925.0723,927.135
1,5,quiet,,2026-09-07,1,4,Q,39.8,34.5,1.993,1.728,928.6802,930.6729
1,5,quiet,,2026-09-07,1,5,Q,45.5,25.1,2.277,1.258,932.4037,934.6809
1,5,quiet,,2026-09-07,1,6,Q,42.7,33.4,2.138,1.672,935.9417,938.0795
1,6,quiet,,2026-09-07,1,1,Q,45.0,33.0,2.253,1.653,952.46,954.713
1,8,quiet,,2026-09-07,1,1,Q,40.2,25.9,40.203,25.903,4712.9398,4753.143
1,8,quiet,,2026-09-07,1,2,Q,44.4,33.0,44.402,33.002,4779.049,4823.4515
1,8,quiet,,2026-09-07,1,3,Q,34.2,29.6,34.203,29.603,4856.4561,4890.659
1,8,quiet,,2026-09-07,1,4,Q,33.6,32.8,33.603,32.803,4920.2639,4953.8665
1,8,quiet,,2026-09-07,1,5,Q,46.1,26.1,46.105,26.103,4986.673,5032.7784
1,8,quiet,,2026-09-07,1,6,Q,32.1,26.8,32.103,26.803,5058.8844,5090.9873
1,9,noise,,2026-09-07,1,1,N,35.5,31.6,35.503,31.604,5331.4924,5366.9958
1,9,noise,,2026-09-07,1,2,N,39.8,30.9,39.802,30.904,5398.6023,5438.4046
1,9,noise,,2026-09-07,1,3,N,41.6,33.1,41.602,33.102,5469.3108,5510.9133
1,9,noise,,2026-09-07,1,4,N,35.2,31.1,35.204,31.106,5544.0179,5579.2214
1,9,noise,,2026-09-07,1,5,N,32.8,26.6,32.803,26.603,5610.3296,5643.1329
1,9,noise,,2026-09-07,1,6,N,43.4,29.8,43.404,29.803,5669.74,5713.1444
1,10,quiet,,2026-09-07,1,1,Q,39.1,32.7,39.117,32.706,5893.7119,5932.8286
1,10,quiet,,2026-09-07,1,2,Q,40.2,26.0,40.202,26.004,5965.5369,6005.7392
1,10,quiet,,2026-09-07,1,3,Q,36.3,29.3,36.304,29.305,6031.7449,6068.0494
1,10,quiet,,2026-09-07,1,4,Q,41.2,30.6,41.202,30.604,6097.3571,6138.5594
1,10,quiet,,2026-09-07,1,5,Q,39.3,31.4,39.303,31.403,6169.1664,6208.469
1,10,quiet,,2026-09-07,1,6,Q,38.6,33.4,38.603,33.403,6239.8751,6278.478
1,11,noise,,2026-09-07,1,1,N,32.7,33.6,32.703,33.603,6556.306,6589.0089
1,11,noise,,2026-09-07,1,2,N,40.9,28.3,40.903,28.304,6622.6151,6663.5178
1,11,noise,,2026-09-07,1,3,N,33.8,25.2,33.803,25.202,6691.824,6725.6267
1,11,noise,,2026-09-07,1,4,N,36.2,32.1,36.203,32.103,6750.8311,6787.0339
1,11,noise,,2026-09-07,1,5,N,45.5,32.5,45.503,32.503,6819.141,6864.6439
1,11,noise,,2026-09-07,1,6,N,39.5,28.6,39.503,28.603,6897.1494,6936.6519
