subject,session,condition,room,date,blocks_completed,blocks_planned,seed,noise_file,midi_events,completed,log,comment
1,1,quiet,,2026-09-06 12:53,4,18,1788692008,manual,,0,sub-01_ses-01_quiet_20260906_125328,
1,2,quiet,,2026-09-06 14:25,3,18,1788697547,manual,,0,sub-01_ses-02_quiet_20260906_142547,
1,3,quiet,,2026-09-06 14:41,5,18,1788698494,manual,,0,sub-01_ses-03_quiet_20260906_144134,
1,4,quiet,,2026-09-07 09:23,9,18,1788765836,manual,,0,sub-01_ses-04_quiet_20260907_092356,
1,5,quiet,,2026-09-07 12:47,6,18,1788778052,manual,,0,sub-01_ses-05_quiet_20260907_124732,
1,6,quiet,,2026-09-07 12:48,1,18,1788778111,manual,,0,sub-01_ses-06_quiet_20260907_124831,
1,7,quiet,,2026-09-07 12:57,0,18,1788778642,manual,,0,sub-01_ses-07_quiet_20260907_125722,
1,8,quiet,,2026-09-07 13:49,6,18,1788781776,manual,,0,sub-01_ses-08_quiet_20260907_134936,
1,9,noise,,2026-09-07 14:00,6,18,1788782429,manual,,0,sub-01_ses-09_noise_20260907_140029,
1,10,quiet,,2026-09-07 14:09,6,18,1788782977,manual,,0,sub-01_ses-10_quiet_20260907_140937,
1,11,noise,,2026-09-07 14:20,6,18,1788783653,manual,,0,sub-01_ses-11_noise_20260907_142053,
