channel,source,detector,source_label,detector_label,length_mm
1,S1,D1,F7,F5,30.8
2,S1,D13,F7,FT7,30.4
3,S2,D1,AF3,F5,41.9
4,S2,D3,AF3,AFz,39.1
5,S3,D3,AF4,AFz,38.7
6,S3,D5,AF4,F6,41.2
7,S4,D5,F8,F6,30.6
8,S4,D15,F8,FT8,29.9
9,S5,D2,Fz,F1,30.4
10,S5,D3,Fz,AFz,39.8
11,S5,D4,Fz,F2,30.2
12,S5,D7,Fz,FCz,39.9
13,S6,D1,F3,F5,30.6
14,S6,D2,F3,F1,30.5
15,S6,D6,F3,FC3,37.2
16,S7,D4,F4,F2,30.3
17,S7,D5,F4,F6,30.4
18,S7,D8,F4,FC4,36.8
19,S8,D1,FC5,F5,34.1
20,S8,D6,FC5,FC3,37.0
21,S8,D9,FC5,C5,34.0
22,S8,D13,FC5,FT7,37.5
23,S9,D2,FC1,F1,39.2
24,S9,D6,FC1,FC3,37.2
25,S9,D7,FC1,FCz,37.0
26,S9,D10,FC1,C1,39.3
27,S10,D4,FC2,F2,38.9
28,S10,D7,FC2,FCz,36.9
29,S10,D8,FC2,FC4,37.0
30,S10,D11,FC2,C2,39.0
31,S11,D5,FC6,F6,33.7
32,S11,D8,FC6,FC4,37.0
33,S11,D12,FC6,C6,33.4
34,S11,D15,FC6,FT8,37.3
35,S12,D7,Cz,FCz,40.1
36,S12,D10,Cz,C1,41.0
37,S12,D11,Cz,C2,40.7
38,S13,D6,C3,FC3,37.6
39,S13,D9,C3,C5,40.7
40,S13,D10,C3,C1,40.9
41,S14,D8,C4,FC4,37.1
42,S14,D11,C4,C2,40.9
43,S14,D12,C4,C6,40.7
44,S15,D9,T7,C5,41.1
45,S15,D13,T7,FT7,30.6
46,S15,D14,T7,TP7,30.4
47,S16,D12,T8,C6,41.1
48,S16,D15,T8,FT8,30.0
49,S16,D16,T8,TP8,31.0
