# 10-10 / 10-5 scalp positions on the ICBM152 head model as used by NIRx NIRSite 2023.9.
# Harvested from NIRSite-exported Standard_probeInfo.mat files (identical across montages).
# x,y,z: scalp position in cm (RAS: +x right, +y anterior, +z superior). u,v: NIRSite 2-D top-view layout coordinates.
# nx,ny,nz: outward scalp normal.
label,x,y,z,u,v,nx,ny,nz
AF3,-3.5609,7.8819,1.6092,-0.247522,0.598691,-0.493052,0.856239,0.154124
AF4,3.5272,7.897,1.6408,0.247522,0.598691,0.483589,0.859698,0.1645
AF7,-5.4498,6.8788,-1.8293,-0.471095,0.650978,-0.714016,0.675275,0.184892
AF8,5.4021,6.9084,-1.7587,0.470648,0.65124,0.721119,0.667911,0.184072
AFz,-0.004,8.339,3.1683,0,0.584498,0.003593,0.947012,0.321178
C1,-3.9835,-0.9543,8.9911,-0.204894,0,-0.482484,0.228904,0.845466
C2,3.8717,-0.8599,9.0282,0.205356,0,0.467422,0.23146,0.853196
C3,-7.0634,-1.1463,6.3077,-0.410269,0,-0.782748,0.245299,0.571957
C3h,-5.6639,-1.0426,7.811,-0.307691,0,-0.642861,0.236329,0.728614
C4,6.9701,-0.9782,6.3617,0.410236,0,0.770526,0.258616,0.582587
C4h,5.5612,-0.9079,7.8585,0.307378,0,0.642663,0.246985,0.725247
C5,-8.4098,-1.3846,2.4756,-0.61522,0,-0.982179,0.154956,0.10636
C5h,-7.9957,-1.263,4.4864,-0.512575,0,-0.936616,0.195554,0.290704
C6,8.3687,-1.1831,2.5487,0.61522,0,0.981806,0.149493,0.117082
C6h,7.9342,-1.0717,4.5557,0.512575,0,0.930143,0.200856,0.307392
CCP1,-4.0486,-2.8942,9.2993,-0.203141,-0.0985,-0.451583,0.054695,0.890551
CCP2,3.96,-2.8111,9.3392,0.202924,-0.098443,0.444866,0.059785,0.8936
CCP3,-7.2036,-2.9818,6.5923,-0.406164,-0.102776,-0.810729,-0.031998,0.584547
CCP3h,-5.773,-2.9362,8.1093,-0.304452,-0.10008,-0.637426,0.041243,0.769407
CCP4,7.1538,-2.8329,6.6603,0.405787,-0.102695,0.776357,0.017136,0.63006
CCP4h,5.6965,-2.8172,8.1671,0.304452,-0.10008,0.642851,0.064072,0.763306
CCP5h,-8.1397,-3.0295,4.7238,-0.507077,-0.106553,-0.95335,-0.000119,0.301866
CCP6h,8.1135,-2.8609,4.8046,0.507335,-0.10645,0.954401,0.021636,0.297741
CP1,-3.9429,-4.8345,9.2764,-0.196839,-0.197356,-0.467104,-0.168248,0.868047
CP2,3.878,-4.7709,9.3218,0.196839,-0.197356,0.456786,-0.155152,0.875942
CP3,-6.9286,-4.8011,6.5668,-0.393052,-0.205262,-0.797113,-0.214938,0.564281
CP4,6.9044,-4.6885,6.6427,0.393052,-0.205262,0.801736,-0.199486,0.563405
CP5,-8.2542,-4.7309,2.78,-0.587606,-0.221679,-0.965068,-0.240656,0.103575
CP5h,-7.8435,-4.77,4.7624,-0.49056,-0.21215,-0.915723,-0.241516,0.321124
CP6,8.2818,-4.5959,2.8546,0.587606,-0.221679,0.966232,-0.238544,0.097427
CP6h,7.8498,-4.6421,4.8423,0.49056,-0.21215,0.912859,-0.239025,0.330993
CPz,-0.0485,-4.8239,10.2848,0,-0.194805,0.010977,-0.164939,0.986243
Cz,-0.0461,-0.8416,10.1365,0,0,0.004128,0.22801,0.97365
