# NIRWizard 0.1.7 — subject block average — per-channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=epoch mean; descriptive (no p/q); correction=none; families=n/a (no correction applied)
# band: 95% CI (band_type=ci95; half-width = multiplier × SEM, df = n_epochs − 1 per channel)
# trial rejection: no trial rejection applied
# units: μM (source: conversion record)
# condition '1': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '10': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '11': 4 onsets, 0 out of bounds, n = 4 per channel
# condition '20': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '21': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '30': 24 onsets, 0 out of bounds, n = 24 per channel
# condition '40': 4 onsets, 1 out of bounds, n = 3 per channel
# peak: signed extremum (largest |mean|) at t ≥ 0; band_at_peak: band half-width there
# provenance: block_average.json (authoritative sidecar, schema 1.0)
channel,signal,condition,peak,peak_time_s,band_at_peak,n_epochs_kept,n_epochs_rejected,status
S1-D1,HbO,1,-4.461131e-1,8.700000,1.820409e0,3,0,good
S1-D1,HbR,1,7.069875e-2,21.700000,1.923877e-1,3,0,good
S1-D2,HbO,1,-6.384527e-1,8.600000,1.991515e0,3,0,good
S1-D2,HbR,1,1.481559e-1,18.900000,2.500746e-1,3,0,good
S1-D3,HbO,1,-4.051185e-1,8.700000,1.537628e0,3,0,good
S1-D3,HbR,1,-4.200979e-2,38.200000,1.966165e-1,3,0,good
S2-D1,HbO,1,-6.076623e-1,8.000000,2.576869e0,3,0,good
S2-D1,HbR,1,-7.790291e-2,39.800000,3.790394e-1,3,0,good
S2-D4,HbO,1,-2.578136e-1,8.500000,1.437136e0,3,0,good
S2-D4,HbR,1,-7.084293e-2,39.500000,2.600130e-2,3,0,good
S3-D1,HbO,1,-3.989084e-1,18.900000,7.095941e-1,3,0,good
S3-D1,HbR,1,4.523311e-2,5.100000,6.504997e-2,3,0,good
S3-D3,HbO,1,2.875761e-1,28.500000,1.178237e0,3,0,good
S3-D3,HbR,1,-5.153042e-2,25.900000,1.864770e-1,3,0,good
S3-D4,HbO,1,-2.706022e-1,8.600000,1.176823e0,3,0,good
S3-D4,HbR,1,-8.497839e-2,21.800000,3.570781e-1,3,0,good
S4-D2,HbO,1,-5.401650e-1,25.900000,1.877019e0,3,0,good
S4-D2,HbR,1,5.988010e-2,19.600000,1.292364e-1,3,0,good
S4-D3,HbO,1,-2.816341e-1,20.600000,5.794058e-1,3,0,good
S4-D3,HbR,1,4.622458e-2,4.300000,1.096160e-1,3,0,good
S4-D7,HbO,1,-3.520291e-1,19.600000,1.036264e0,3,0,good
S4-D7,HbR,1,5.099579e-2,22.300000,1.818231e-1,3,0,good
S5-D2,HbO,1,-6.040747e-1,8.500000,2.257256e0,3,0,good
S5-D2,HbR,1,-1.065778e-1,37.300000,4.275051e-1,3,0,good
S5-D7,HbO,1,-3.699321e-1,8.700000,1.732068e0,3,0,good
S5-D7,HbR,1,-7.892776e-2,38.300000,1.589797e-1,3,0,good
S6-D3,HbO,1,2.752139e-1,29.100000,6.342435e-1,3,0,good
S6-D3,HbR,1,-7.029011e-2,40.000000,2.142358e-1,3,0,good
S6-D5,HbO,1,2.321280e-1,29.400000,9.504416e-1,3,0,good
S6-D5,HbR,1,-6.867478e-2,19.900000,3.677094e-1,3,0,good
S6-D6,HbO,1,2.135206e-1,29.400000,6.386792e-1,3,0,good
S6-D6,HbR,1,7.385565e-2,29.600000,1.665904e-1,3,0,good
S6-D9,HbO,1,-2.218690e-1,20.000000,9.720183e-1,3,0,good
S6-D9,HbR,1,6.132886e-2,26.000000,1.719555e-1,3,0,good
S7-D4,HbO,1,-2.734237e-1,20.700000,3.764912e-1,3,0,good
S7-D4,HbR,1,-5.243178e-2,30.700000,1.558074e-1,3,0,good
S7-D5,HbO,1,1.867400e-1,12.300000,6.786618e-1,3,0,good
S7-D5,HbR,1,-2.864536e-2,27.300000,3.250973e-2,3,0,good
S7-D8,HbO,1,3.366955e-1,29.700000,7.133614e-1,3,0,good
S7-D8,HbR,1,-1.342289e-1,24.900000,5.769199e-1,3,0,good
S8-D6,HbO,1,1.893352e-1,12.200000,8.299733e-1,3,0,good
S8-D6,HbR,1,3.761173e-2,12.200000,1.477702e-1,3,0,good
