# NIRWizard 0.1.7 — subject block average — timecourse
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=epoch mean; descriptive (no p/q); correction=none; families=n/a (no correction applied)
# band: 95% CI (band_type=ci95; half-width = multiplier × SEM, df = n_epochs − 1 per channel)
# trial rejection: no trial rejection applied
# units: μM (source: conversion record)
# condition '1': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '10': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '11': 4 onsets, 0 out of bounds, n = 4 per channel
# condition '20': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '21': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '30': 24 onsets, 0 out of bounds, n = 24 per channel
# condition '40': 4 onsets, 1 out of bounds, n = 3 per channel
# provenance: block_average.json (authoritative sidecar, schema 1.0)
channel,signal,condition,time_s,mean,band_lo,band_hi,band_type,n_epochs
S1-D1,HbO,1,-5.000000,-2.883646e-1,-9.479627e-1,3.712334e-1,ci95,3
S1-D1,HbO,1,-4.900000,-2.836160e-1,-9.165614e-1,3.493295e-1,ci95,3
S1-D1,HbO,1,-4.800000,-2.767447e-1,-8.821916e-1,3.287023e-1,ci95,3
S1-D1,HbO,1,-4.700000,-2.678577e-1,-8.465166e-1,3.108012e-1,ci95,3
S1-D1,HbO,1,-4.600000,-2.571458e-1,-8.104954e-1,2.962038e-1,ci95,3
S1-D1,HbO,1,-4.500000,-2.448793e-1,-7.749136e-1,2.851549e-1,ci95,3
S1-D1,HbO,1,-4.400000,-2.312742e-1,-7.400373e-1,2.774890e-1,ci95,3
S1-D1,HbO,1,-4.300000,-2.166007e-1,-7.059359e-1,2.727344e-1,ci95,3
S1-D1,HbO,1,-4.200000,-2.007923e-1,-6.710743e-1,2.694896e-1,ci95,3
S1-D1,HbO,1,-4.100000,-1.842857e-1,-6.349920e-1,2.664206e-1,ci95,3
S1-D1,HbO,1,-4.000000,-1.672628e-1,-5.968580e-1,2.623325e-1,ci95,3
S1-D1,HbO,1,-3.900000,-1.498516e-1,-5.558848e-1,2.561816e-1,ci95,3
S1-D1,HbO,1,-3.800000,-1.321496e-1,-5.108297e-1,2.465304e-1,ci95,3
S1-D1,HbO,1,-3.700000,-1.141676e-1,-4.618313e-1,2.334961e-1,ci95,3
S1-D1,HbO,1,-3.600000,-9.597606e-2,-4.098547e-1,2.179026e-1,ci95,3
S1-D1,HbO,1,-3.500000,-7.755278e-2,-3.566007e-1,2.014951e-1,ci95,3
S1-D1,HbO,1,-3.400000,-5.881984e-2,-3.049151e-1,1.872754e-1,ci95,3
S1-D1,HbO,1,-3.300000,-4.002371e-2,-2.615406e-1,1.814932e-1,ci95,3
S1-D1,HbO,1,-3.200000,-2.118482e-2,-2.345584e-1,1.921887e-1,ci95,3
S1-D1,HbO,1,-3.100000,-2.468704e-3,-2.293304e-1,2.243930e-1,ci95,3
S1-D1,HbO,1,-3.000000,1.593748e-2,-2.443474e-1,2.762224e-1,ci95,3
S1-D1,HbO,1,-2.900000,3.367152e-2,-2.735905e-1,3.409336e-1,ci95,3
S1-D1,HbO,1,-2.800000,5.043049e-2,-3.104759e-1,4.113368e-1,ci95,3
S1-D1,HbO,1,-2.700000,6.610300e-2,-3.503720e-1,4.825780e-1,ci95,3
S1-D1,HbO,1,-2.600000,8.055141e-2,-3.896372e-1,5.507401e-1,ci95,3
S1-D1,HbO,1,-2.500000,9.364084e-2,-4.251782e-1,6.124599e-1,ci95,3
S1-D1,HbO,1,-2.400000,1.053979e-1,-4.532622e-1,6.640580e-1,ci95,3
S1-D1,HbO,1,-2.300000,1.159344e-1,-4.726765e-1,7.045454e-1,ci95,3
S1-D1,HbO,1,-2.200000,1.253826e-1,-4.819607e-1,7.327259e-1,ci95,3
S1-D1,HbO,1,-2.100000,1.337426e-1,-4.801401e-1,7.476254e-1,ci95,3
S1-D1,HbO,1,-2.000000,1.411941e-1,-4.659989e-1,7.483871e-1,ci95,3
S1-D1,HbO,1,-1.900000,1.476427e-1,-4.407930e-1,7.360784e-1,ci95,3
S1-D1,HbO,1,-1.800000,1.531254e-1,-4.068120e-1,7.130628e-1,ci95,3
S1-D1,HbO,1,-1.700000,1.575521e-1,-3.661960e-1,6.813001e-1,ci95,3
S1-D1,HbO,1,-1.600000,1.606643e-1,-3.212172e-1,6.425458e-1,ci95,3
S1-D1,HbO,1,-1.500000,1.624163e-1,-2.750044e-1,5.998370e-1,ci95,3
