# NIRWizard 0.1.7 — QC per-channel table
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=QC metrics (cedalion engine); descriptive (no p/q); correction=none; families=n/a (no correction applied)
# engine=cedalion v26.5.2.dev11+ga7eb62531; cardiac band 0.5-2.5 Hz; window 5 s (61 samples @ 12.2070 Hz), no overlap; 421 windows
# verdict rule: window good iff SCI>=0.8 and PSP>=0.1; channel good iff good-window fraction>=q=0.75 and SNR>=2, SD in 0-45 mm, mean amplitude gate not applied (no bounds set)
# SNR convention: SNR = mean(raw intensity) / std(raw intensity) per wavelength (population std), channel value = minimum over wavelengths; Homer3 convention, not dB
# sci_value / psp_value are medians over windows; *_pass for SCI/PSP = per-metric good-window fraction >= q; status combines both windows and gates
# GVTD (recording-level, never flags channels): mean=1.092568e-2 median=7.886281e-3 max=1.558530e-1 over 94 measurements
# QC exclusions applied: no — status is the QC verdict under these thresholds; nothing has been written into the bad-channel record
# n/a = gate not applied for that channel
# provenance: qc_channels.json (authoritative sidecar, schema 1.0)
name	source	detector	separation_mm	sci_value	sci_threshold	sci_pass	psp_value	psp_threshold	psp_pass	snr_value	snr_threshold	snr_pass	mean_amplitude_value	mean_amplitude_threshold	mean_amplitude_pass	sd_distance_value	sd_distance_threshold	sd_distance_pass	windows_total	windows_good	good_fraction	q_threshold	status	status_description	verdict_source	engine
S1-D1	1	1	3.036503e1	9.948149e-1	0.8	true	1.381817e-1	0.1	false	1.313522e1	2	true	3.794803e2	n/a	n/a	3.036503e1	0-45	true	421	280	6.650831e-1	0.75	bad	failed windows, psp: 280/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S1-D2	1	2	2.989253e1	9.920128e-1	0.8	true	1.299952e-1	0.1	false	1.680235e1	2	true	1.848844e2	n/a	n/a	2.989253e1	0-45	true	421	253	6.009501e-1	0.75	bad	failed windows, psp: 253/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S1-D3	1	3	3.994168e1	9.889927e-1	0.8	true	1.668060e-1	0.1	true	1.240718e1	2	true	2.503537e1	n/a	n/a	3.994168e1	0-45	true	421	351	8.337292e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S2-D1	2	1	3.039865e1	9.967319e-1	0.8	true	1.737886e-1	0.1	true	1.783819e1	2	true	5.104017e2	n/a	n/a	3.039865e1	0-45	true	421	367	8.717340e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S2-D4	2	4	3.595751e1	9.926846e-1	0.8	true	1.720367e-1	0.1	true	2.914463e1	2	true	3.994702e1	n/a	n/a	3.595751e1	0-45	true	421	378	8.978622e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S3-D1	3	1	3.159301e1	9.960299e-1	0.8	true	1.712361e-1	0.1	true	3.026045e1	2	true	1.614980e2	n/a	n/a	3.159301e1	0-45	true	421	349	8.289786e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S3-D3	3	3	3.910405e1	9.768220e-1	0.8	true	1.830805e-1	0.1	true	3.204379e1	2	true	1.535457e1	n/a	n/a	3.910405e1	0-45	true	421	407	9.667458e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S3-D4	3	4	4.185213e1	6.219026e-1	0.8	false	7.957576e-2	0.1	false	4.603242e1	2	true	4.404848e0	n/a	n/a	4.185213e1	0-45	true	421	8	1.900238e-2	0.75	bad	failed windows, sci, psp: 8/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S4-D2	4	2	3.142765e1	9.961160e-1	0.8	true	1.663954e-1	0.1	true	2.631904e1	2	true	2.064800e2	n/a	n/a	3.142765e1	0-45	true	421	316	7.505938e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S4-D3	4	3	3.872724e1	9.727646e-1	0.8	true	1.756560e-1	0.1	true	3.696353e1	2	true	1.822912e1	n/a	n/a	3.872724e1	0-45	true	421	391	9.287411e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
