# NIRWizard 0.1.7 — subject GLM channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# solver=AR-IRLS; inferential: p = 2·tcdf(−|t|, dfe); q = Benjamini-Hochberg FDR per condition × chromophore, across channels; hrf=Canonical; fs=10.0000Hz; n_channels=47
# conditions: QUIET, NOISE
# beta unit: μM (from Parameters.Conversion)
# dfe = 21392.000000 (n − p, per fit)
# runs: 4 (concatenated session); 3 run-intercept columns (run_2, run_3, run_4); drift per-run; AR whitening pooled
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,source,detector,separation_mm,signal,effect_type,effect,beta,se,t,dfe,p,q,ar_order,status
S1-D1,1,1,30.365032,HbO,condition,QUIET,3.501328e-1,2.956247e-2,11.843826,21392.000000,0.000000,0.000000,25,good
S1-D1,1,1,30.365032,HbO,condition,NOISE,3.788238e-1,2.970906e-2,12.751123,21392.000000,0.000000,0.000000,25,good
S1-D1,1,1,30.365032,HbR,condition,QUIET,-1.315200e-2,4.441534e-3,-2.961139,21392.000000,0.003068,0.006270,22,good
S1-D1,1,1,30.365032,HbR,condition,NOISE,-1.159904e-2,4.461702e-3,-2.599690,21392.000000,0.009337,0.016879,22,good
S1-D2,1,2,29.892526,HbO,condition,QUIET,3.499053e-1,3.263325e-2,10.722356,21392.000000,0.000000,0.000000,27,good
S1-D2,1,2,29.892526,HbO,condition,NOISE,3.910151e-1,3.274471e-2,11.941319,21392.000000,0.000000,0.000000,27,good
S1-D2,1,2,29.892526,HbR,condition,QUIET,-3.572507e-2,6.613373e-3,-5.401945,21392.000000,0.000000,0.000000,27,good
S1-D2,1,2,29.892526,HbR,condition,NOISE,-4.052298e-2,6.655347e-3,-6.088785,21392.000000,0.000000,0.000000,27,good
S1-D3,1,3,39.941680,HbO,condition,QUIET,3.364876e-1,2.530034e-2,13.299727,21392.000000,0.000000,0.000000,32,good
S1-D3,1,3,39.941680,HbO,condition,NOISE,3.031768e-1,2.555981e-2,11.861465,21392.000000,0.000000,0.000000,32,good
S1-D3,1,3,39.941680,HbR,condition,QUIET,-3.134520e-3,4.078367e-3,-0.768572,21392.000000,0.442156,0.532854,17,good
S1-D3,1,3,39.941680,HbR,condition,NOISE,-7.169723e-3,4.095016e-3,-1.750841,21392.000000,0.079988,0.115654,17,good
S2-D1,2,1,30.398649,HbO,condition,QUIET,4.096481e-1,3.630764e-2,11.282695,21392.000000,0.000000,0.000000,25,good
S2-D1,2,1,30.398649,HbO,condition,NOISE,3.946417e-1,3.653119e-2,10.802871,21392.000000,0.000000,0.000000,25,good
S2-D1,2,1,30.398649,HbR,condition,QUIET,4.436249e-2,4.934818e-3,8.989692,21392.000000,0.000000,0.000000,18,good
S2-D1,2,1,30.398649,HbR,condition,NOISE,4.755575e-2,4.973464e-3,9.561896,21392.000000,0.000000,0.000000,18,good
S2-D4,2,4,35.957512,HbO,condition,QUIET,1.784396e-1,2.336337e-2,7.637579,21392.000000,0.000000,0.000000,33,good
S2-D4,2,4,35.957512,HbO,condition,NOISE,1.356948e-1,2.363693e-2,5.740797,21392.000000,0.000000,0.000000,33,good
S2-D4,2,4,35.957512,HbR,condition,QUIET,3.863055e-2,3.339599e-3,11.567422,21392.000000,0.000000,0.000000,19,good
S2-D4,2,4,35.957512,HbR,condition,NOISE,3.991855e-2,3.357518e-3,11.889305,21392.000000,0.000000,0.000000,19,good
S3-D1,3,1,31.593011,HbO,condition,QUIET,1.514233e-1,2.438820e-2,6.208873,21392.000000,0.000000,0.000000,25,good
S3-D1,3,1,31.593011,HbO,condition,NOISE,2.242674e-1,2.457153e-2,9.127123,21392.000000,0.000000,0.000000,25,good
S3-D1,3,1,31.593011,HbR,condition,QUIET,7.169058e-3,2.478530e-3,2.892464,21392.000000,0.003826,0.007493,19,good
S3-D1,3,1,31.593011,HbR,condition,NOISE,8.365424e-3,2.487791e-3,3.362591,21392.000000,0.000774,0.001731,19,good
S3-D3,3,3,39.104055,HbO,condition,QUIET,1.672917e-1,2.258461e-2,7.407332,21392.000000,0.000000,0.000000,24,good
S3-D3,3,3,39.104055,HbO,condition,NOISE,1.808901e-1,2.286772e-2,7.910280,21392.000000,0.000000,0.000000,24,good
S3-D3,3,3,39.104055,HbR,condition,QUIET,-1.378659e-3,2.650499e-3,-0.520151,21392.000000,0.602964,0.659054,26,good
S3-D3,3,3,39.104055,HbR,condition,NOISE,-3.417208e-3,2.657534e-3,-1.285857,21392.000000,0.198507,0.245522,26,good
S3-D4,3,4,41.852126,HbO,condition,QUIET,7.479330e-2,1.606089e-2,4.656860,21392.000000,0.000003,0.000004,19,good
S3-D4,3,4,41.852126,HbO,condition,NOISE,1.002165e-1,1.623211e-2,6.173967,21392.000000,0.000000,0.000000,19,good
S3-D4,3,4,41.852126,HbR,condition,QUIET,2.596764e-2,3.905873e-3,6.648357,21392.000000,0.000000,0.000000,24,good
S3-D4,3,4,41.852126,HbR,condition,NOISE,-5.859958e-3,3.932239e-3,-1.490234,21392.000000,0.136177,0.173871,24,good
S4-D2,4,2,31.427649,HbO,condition,QUIET,2.160503e-1,2.455210e-2,8.799668,21392.000000,0.000000,0.000000,13,good
