# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S1-D1,HbO,drift_r1_1,4.546664e0,2.323233e0
S1-D1,HbO,drift_r1_2,4.723441e-1,2.293325e0
S1-D1,HbO,drift_r1_3,-1.041241e0,2.257890e0
S1-D1,HbO,drift_r1_4,-1.881081e0,2.230073e0
S1-D1,HbO,drift_r1_5,-2.540898e0,2.219399e0
S1-D1,HbO,drift_r1_6,-2.925162e0,2.172582e0
S1-D1,HbO,drift_r1_7,3.187123e-1,2.141923e0
S1-D1,HbO,drift_r1_8,8.034268e-2,2.106348e0
S1-D1,HbO,drift_r1_9,-3.543703e0,2.061429e0
S1-D1,HbO,drift_r2_1,-1.133523e0,2.235405e0
S1-D1,HbO,drift_r2_2,1.715725e-1,2.225684e0
S1-D1,HbO,drift_r2_3,-4.318563e0,2.198459e0
S1-D1,HbO,drift_r2_4,-1.005020e0,2.164380e0
S1-D1,HbO,drift_r2_5,-3.683367e0,2.129526e0
S1-D1,HbO,drift_r2_6,-3.290288e-1,2.084682e0
S1-D1,HbO,drift_r2_7,-2.797938e0,2.039459e0
S1-D1,HbO,drift_r3_1,3.220440e0,2.251591e0
S1-D1,HbO,drift_r3_2,3.582022e0,2.259623e0
S1-D1,HbO,drift_r3_3,3.190464e0,2.212977e0
S1-D1,HbO,drift_r3_4,3.012924e0,2.209700e0
S1-D1,HbO,drift_r3_5,4.271546e-1,2.148655e0
S1-D1,HbO,drift_r3_6,3.375072e0,2.116700e0
S1-D1,HbO,drift_r3_7,-1.340493e0,2.064280e0
S1-D1,HbO,drift_r3_8,-1.062962e0,2.015516e0
S1-D1,HbO,drift_r4_1,-1.815291e-1,2.236319e0
S1-D1,HbO,drift_r4_2,1.270070e0,2.236643e0
S1-D1,HbO,drift_r4_3,1.803405e0,2.200708e0
S1-D1,HbO,drift_r4_4,-2.133016e0,2.167991e0
S1-D1,HbO,drift_r4_5,8.109316e-1,2.134422e0
S1-D1,HbO,drift_r4_6,-3.222071e-2,2.088025e0
S1-D1,HbO,drift_r4_7,-1.854927e0,2.049810e0
S1-D1,HbO,run_2,-7.595577e-2,4.499686e-2
S1-D1,HbO,run_3,-3.374554e-2,4.815699e-2
S1-D1,HbO,run_4,-3.191583e-2,4.825298e-2
S1-D1,HbO,intercept,-1.606746e-1,3.218899e-2
